x,y,z,c
94,24,38,#000000
137,31,29,#000000
146,56,0,#000000
153,42,6,#000000
162,136,45,#000000
169,142,40,#000000
154,145,3,#000000
156,147,8,#000000
43,160,26,#000000
100,1,14,#000000
158,5,21,#000000
98,31,45,#000000
143,44,6,#000000
134,30,21,#000000
165,129,51,#000000
96,25,39,#000000
175,19,2,#000000
174,74,7,#000000
47,165,43,#000000
44,163,48,#000000
131,39,0,#000000
153,82,24,#000000
159,149,2,#000000
98,0,19,#000000
96,25,48,#000000
138,32,26,#000000
141,34,4,#000000
146,37,7,#000000
173,66,34,#000000
40,164,25,#000000
100,27,41,#000000
132,41,12,#000000
176,65,35,#000000
138,42,6,#000000
142,56,55,#000000
152,40,7,#000000
150,40,57,#000000
113,42,52,#000000
139,44,12,#000000
36,174,3,#000000
42,166,23,#000000
83,161,37,#000000
98,1,14,#000000
95,24,38,#000000
101,26,46,#000000
161,136,14,#000000
135,47,11,#000000
145,40,56,#000000
175,31,54,#000000
175,73,6,#000000
153,85,23,#000000
159,146,1,#000000
41,175,2,#000000
98,27,39,#000000
146,43,56,#000000
153,34,57,#000000
42,165,53,#000000
77,156,43,#000000
160,43,8,#000000
170,75,6,#000000
81,164,39,#000000
110,43,57,#000000
132,41,8,#000000
161,135,45,#000000
40,178,3,#000000
98,31,41,#000000
135,37,25,#000000
160,145,10,#000000
137,42,7,#000000
133,47,5,#000000
40,159,17,#000000
36,161,21,#000000
95,3,23,#000000
95,6,20,#000000
114,3,40,#000000
94,37,10,#000000
142,35,56,#000000
159,45,5,#000000
170,142,42,#000000
160,137,46,#000000
41,166,20,#000000
79,164,39,#000000
107,2,36,#000000
130,34,25,#000000
129,39,4,#000000
150,58,2,#000000
91,39,12,#000000
145,42,5,#000000
168,71,5,#000000
175,73,29,#000000
161,146,1,#000000
142,43,2,#000000
133,41,26,#000000
48,168,46,#000000
84,157,41,#000000
101,6,18,#000000
109,6,35,#000000
167,16,3,#000000
168,18,4,#000000
133,46,2,#000000
143,53,48,#000000
157,39,0,#000000
154,82,19,#000000
177,33,54,#000000
150,82,16,#000000
43,167,44,#000000
99,23,41,#000000
100,25,47,#000000
113,43,54,#000000
161,42,7,#000000
157,47,7,#000000
179,67,28,#000000
90,22,39,#000000
138,46,12,#000000
158,41,2,#000000
172,33,59,#000000
159,40,11,#000000
177,68,3,#000000
40,168,23,#000000
39,175,9,#000000
97,26,41,#000000
156,4,26,#000000
106,41,57,#000000
141,45,5,#000000
162,144,1,#000000
174,139,43,#000000
162,3,19,#000000
167,17,7,#000000
169,140,38,#000000
162,133,44,#000000
159,44,8,#000000
160,126,47,#000000
150,39,56,#000000
38,165,22,#000000
43,162,20,#000000
116,1,33,#000000
164,5,25,#000000
174,22,3,#000000
174,34,56,#000000
169,68,11,#000000
168,68,10,#000000
40,177,3,#000000
78,157,43,#000000
115,3,32,#000000
143,42,1,#000000
131,33,22,#000000
174,68,27,#000000
35,160,24,#000000
44,167,44,#000000
135,30,21,#000000
173,64,34,#000000
150,90,20,#000000
174,67,34,#000000
172,147,40,#000000
36,173,4,#000000
92,26,43,#000000
101,26,43,#000000
93,26,39,#000000
138,43,13,#000000
141,52,57,#000000
44,161,24,#000000
177,17,3,#000000
129,31,23,#000000
115,3,39,#000000
144,43,2,#000000
173,74,4,#000000
159,136,47,#000000
33,178,6,#000000
97,8,17,#000000
97,28,47,#000000
155,2,24,#000000
144,42,6,#000000
160,141,11,#000000
46,173,49,#000000
94,2,22,#000000
92,37,4,#000000
141,59,1,#000000
158,147,1,#000000
174,142,42,#000000
41,175,3,#000000
157,5,27,#000000
170,17,10,#000000
114,41,54,#000000
138,45,6,#000000
162,144,16,#000000
169,73,6,#000000
155,146,2,#000000
40,163,19,#000000
39,179,6,#000000
40,165,48,#000000
99,4,23,#000000
134,51,4,#000000
147,38,2,#000000
162,148,6,#000000
76,159,40,#000000
173,18,1,#000000
174,139,36,#000000
163,132,51,#000000
37,173,4,#000000
81,157,43,#000000
115,6,35,#000000
114,7,35,#000000
146,57,52,#000000
155,144,1,#000000
168,71,4,#000000
176,72,29,#000000
39,165,48,#000000
110,3,32,#000000
137,37,5,#000000
140,53,55,#000000
147,53,55,#000000
148,51,49,#000000
177,68,8,#000000
41,158,22,#000000
82,164,38,#000000
96,8,19,#000000
93,37,11,#000000
130,42,6,#000000
159,41,2,#000000
45,164,48,#000000
80,158,34,#000000
168,16,1,#000000
111,47,55,#000000
174,70,29,#000000
155,129,47,#000000
159,142,16,#000000
102,2,22,#000000
94,27,41,#000000
111,39,49,#000000
142,47,4,#000000
147,32,57,#000000
151,34,54,#000000
133,41,13,#000000
142,52,47,#000000
102,4,17,#000000
161,8,26,#000000
159,11,25,#000000
106,39,57,#000000
113,39,49,#000000
111,40,59,#000000
159,46,6,#000000
158,130,51,#000000
176,139,41,#000000
84,157,35,#000000
96,28,43,#000000
151,38,57,#000000
94,24,47,#000000
138,50,10,#000000
146,51,57,#000000
174,70,2,#000000
157,139,12,#000000
175,139,43,#000000
43,161,19,#000000
172,20,8,#000000
140,57,52,#000000
174,69,32,#000000
172,148,40,#000000
43,159,17,#000000
90,26,42,#000000
142,45,5,#000000
136,30,31,#000000
179,33,55,#000000
154,82,18,#000000
155,3,23,#000000
159,132,50,#000000
37,172,4,#000000
85,157,37,#000000
84,159,38,#000000
82,162,37,#000000
99,6,16,#000000
92,24,40,#000000
159,132,44,#000000
177,68,7,#000000
164,145,4,#000000
109,7,36,#000000
92,39,5,#000000
99,30,43,#000000
107,39,50,#000000
157,51,6,#000000
173,65,6,#000000
164,144,6,#000000
159,144,14,#000000
177,138,40,#000000
94,4,19,#000000
172,22,3,#000000
128,30,25,#000000
137,49,8,#000000
156,41,10,#000000
157,138,16,#000000
85,156,41,#000000
97,23,46,#000000
170,22,4,#000000
157,7,24,#000000
137,40,0,#000000
139,53,50,#000000
131,43,4,#000000
177,68,6,#000000
83,158,35,#000000
96,7,20,#000000
110,1,41,#000000
97,26,38,#000000
107,40,50,#000000
111,47,53,#000000
33,176,0,#000000
91,22,46,#000000
140,39,0,#000000
177,32,54,#000000
150,90,22,#000000
101,4,22,#000000
148,41,59,#000000
171,72,9,#000000
168,68,2,#000000
150,83,26,#000000
135,37,26,#000000
149,40,59,#000000
92,28,40,#000000
161,2,19,#000000
164,4,26,#000000
109,41,58,#000000
107,43,55,#000000
138,31,25,#000000
137,30,30,#000000
153,39,3,#000000
156,45,8,#000000
162,40,5,#000000
152,85,23,#000000
157,132,45,#000000
85,158,38,#000000
112,42,51,#000000
144,38,59,#000000
155,46,5,#000000
178,65,25,#000000
164,130,43,#000000
114,8,36,#000000
115,1,40,#000000
163,2,19,#000000
140,40,1,#000000
138,30,28,#000000
135,45,2,#000000
161,129,42,#000000
36,177,8,#000000
46,170,51,#000000
162,9,24,#000000
137,50,10,#000000
178,67,27,#000000
158,134,48,#000000
173,33,59,#000000
155,148,5,#000000
37,159,18,#000000
110,2,31,#000000
98,32,44,#000000
145,57,52,#000000
141,51,57,#000000
158,43,3,#000000
177,136,41,#000000
39,177,8,#000000
158,10,24,#000000
161,7,27,#000000
144,45,4,#000000
162,131,51,#000000
93,2,17,#000000
110,7,34,#000000
109,47,54,#000000
137,43,5,#000000
136,35,27,#000000
163,132,43,#000000
151,87,19,#000000
162,145,16,#000000
98,10,20,#000000
114,41,56,#000000
129,39,6,#000000
129,32,26,#000000
147,53,51,#000000
154,39,2,#000000
166,129,50,#000000
103,24,43,#000000
173,17,10,#000000
81,164,38,#000000
117,2,35,#000000
176,19,7,#000000
138,41,4,#000000
136,34,24,#000000
48,167,52,#000000
43,171,49,#000000
92,1,19,#000000
113,9,36,#000000
129,33,26,#000000
139,43,13,#000000
158,147,9,#000000
45,159,20,#000000
140,37,9,#000000
129,33,28,#000000
137,52,9,#000000
146,55,50,#000000
146,43,57,#000000
161,41,4,#000000
173,66,6,#000000
48,165,52,#000000
79,164,38,#000000
173,14,5,#000000
172,16,0,#000000
169,18,2,#000000
147,53,54,#000000
162,137,48,#000000
145,40,1,#000000
136,46,5,#000000
159,146,10,#000000
173,142,38,#000000
32,178,6,#000000
93,3,19,#000000
162,7,26,#000000
161,147,13,#000000
154,144,6,#000000
172,138,44,#000000
174,71,10,#000000
162,142,18,#000000
99,9,18,#000000
114,42,55,#000000
108,44,56,#000000
109,48,53,#000000
110,48,53,#000000
146,42,57,#000000
171,145,39,#000000
161,6,27,#000000
98,33,42,#000000
145,59,52,#000000
153,39,10,#000000
161,139,19,#000000
176,137,43,#000000
38,163,25,#000000
47,171,48,#000000
96,4,23,#000000
90,39,12,#000000
139,57,0,#000000
161,146,13,#000000
137,38,2,#000000
139,42,14,#000000
149,51,52,#000000
161,130,42,#000000
91,26,41,#000000
162,4,20,#000000
95,31,43,#000000
142,50,52,#000000
177,39,58,#000000
162,147,13,#000000
161,9,26,#000000
173,64,35,#000000
141,36,4,#000000
137,39,4,#000000
48,166,44,#000000
100,26,40,#000000
161,9,22,#000000
92,38,12,#000000
134,43,1,#000000
138,43,5,#000000
143,53,47,#000000
171,71,10,#000000
98,28,40,#000000
98,25,41,#000000
171,25,4,#000000
133,30,31,#000000
154,82,20,#000000
160,142,17,#000000
172,136,46,#000000
159,135,49,#000000
174,136,45,#000000
44,162,23,#000000
132,43,9,#000000
173,138,44,#000000
166,129,44,#000000
38,159,17,#000000
76,156,35,#000000
174,22,4,#000000
158,48,5,#000000
175,138,37,#000000
38,166,22,#000000
50,166,50,#000000
104,1,19,#000000
100,24,39,#000000
130,32,23,#000000
142,59,51,#000000
159,129,42,#000000
141,45,4,#000000
174,71,9,#000000
175,61,30,#000000
38,162,19,#000000
96,7,19,#000000
97,32,45,#000000
108,47,54,#000000
134,41,0,#000000
138,51,53,#000000
161,145,12,#000000
172,140,44,#000000
49,165,51,#000000
41,167,46,#000000
95,30,45,#000000
155,44,8,#000000
173,75,4,#000000
173,74,8,#000000
160,138,48,#000000
45,172,50,#000000
84,160,38,#000000
101,27,45,#000000
140,40,0,#000000
147,34,51,#000000
157,144,10,#000000
40,177,1,#000000
38,179,7,#000000
47,170,46,#000000
113,7,38,#000000
175,140,38,#000000
157,133,47,#000000
156,6,24,#000000
112,44,56,#000000
143,36,4,#000000
146,55,0,#000000
167,136,42,#000000
175,136,36,#000000
43,166,53,#000000
97,28,40,#000000
159,45,4,#000000
158,48,6,#000000
168,70,3,#000000
172,72,10,#000000
81,160,41,#000000
157,139,16,#000000
173,135,40,#000000
146,39,54,#000000
155,43,3,#000000
40,169,22,#000000
82,157,33,#000000
162,8,25,#000000
91,39,11,#000000
113,41,57,#000000
146,39,4,#000000
96,29,43,#000000
134,45,10,#000000
154,43,5,#000000
170,143,41,#000000
82,156,33,#000000
100,5,22,#000000
163,2,28,#000000
142,54,48,#000000
169,69,2,#000000
174,67,33,#000000
101,3,23,#000000
156,41,2,#000000
174,73,8,#000000
163,142,11,#000000
161,146,14,#000000
37,163,24,#000000
91,22,47,#000000
162,4,28,#000000
172,18,10,#000000
144,39,57,#000000
145,40,58,#000000
162,139,19,#000000
159,41,10,#000000
117,2,34,#000000
110,4,32,#000000
144,43,4,#000000
145,42,3,#000000
138,48,11,#000000
139,48,10,#000000
94,2,16,#000000
90,37,13,#000000
133,36,29,#000000
142,51,47,#000000
175,72,5,#000000
175,73,30,#000000
109,1,40,#000000
169,19,2,#000000
140,54,54,#000000
179,37,59,#000000
172,65,5,#000000
98,7,17,#000000
159,8,26,#000000
163,7,24,#000000
131,39,9,#000000
142,35,55,#000000
166,140,13,#000000
105,39,57,#000000
135,43,1,#000000
107,1,37,#000000
114,7,38,#000000
172,17,10,#000000
94,36,8,#000000
114,42,53,#000000
96,33,43,#000000
167,69,6,#000000
155,144,2,#000000
40,167,23,#000000
115,2,40,#000000
144,50,52,#000000
174,75,5,#000000
100,4,15,#000000
95,31,42,#000000
142,58,54,#000000
147,38,54,#000000
175,16,1,#000000
178,28,59,#000000
139,39,5,#000000
136,33,29,#000000
150,38,58,#000000
159,146,9,#000000
175,37,58,#000000
162,138,47,#000000
78,156,33,#000000
111,10,36,#000000
94,31,43,#000000
136,33,28,#000000
143,46,4,#000000
161,39,9,#000000
156,129,45,#000000
39,179,3,#000000
135,45,6,#000000
142,41,10,#000000
139,51,48,#000000
175,140,39,#000000
97,22,37,#000000
97,26,48,#000000
172,28,5,#000000
149,39,59,#000000
146,54,54,#000000
150,79,21,#000000
175,21,6,#000000
170,21,3,#000000
151,57,0,#000000
174,136,35,#000000
42,161,18,#000000
109,1,32,#000000
148,43,56,#000000
172,31,57,#000000
177,69,5,#000000
159,142,14,#000000
117,2,36,#000000
92,40,9,#000000
131,45,4,#000000
134,46,8,#000000
146,56,51,#000000
179,69,30,#000000
41,165,52,#000000
106,39,51,#000000
130,33,29,#000000
179,66,33,#000000
34,178,7,#000000
45,162,48,#000000
84,156,34,#000000
98,7,16,#000000
92,30,42,#000000
140,39,8,#000000
174,71,30,#000000
171,64,32,#000000
177,65,35,#000000
164,144,13,#000000
42,167,44,#000000
175,19,8,#000000
140,58,0,#000000
130,33,28,#000000
152,34,54,#000000
161,146,9,#000000
158,141,14,#000000
159,131,43,#000000
78,160,41,#000000
99,26,47,#000000
95,25,46,#000000
109,39,49,#000000
140,44,7,#000000
165,140,11,#000000
45,176,48,#000000
172,31,59,#000000
174,75,7,#000000
165,132,46,#000000
174,70,30,#000000
156,148,5,#000000
37,164,23,#000000
32,175,7,#000000
92,24,42,#000000
148,53,52,#000000
147,40,55,#000000
150,39,57,#000000
157,139,13,#000000
172,137,45,#000000
49,169,48,#000000
79,157,33,#000000
160,12,24,#000000
146,40,5,#000000
131,30,31,#000000
163,144,2,#000000
83,156,33,#000000
138,49,8,#000000
151,36,54,#000000
173,71,2,#000000
77,160,36,#000000
174,21,3,#000000
113,44,54,#000000
137,32,26,#000000
146,34,52,#000000
154,42,3,#000000
157,147,8,#000000
98,13,19,#000000
140,38,9,#000000
143,59,54,#000000
40,177,2,#000000
75,157,38,#000000
165,2,24,#000000
137,47,7,#000000
173,67,33,#000000
49,166,51,#000000
107,1,34,#000000
172,24,7,#000000
133,34,29,#000000
139,46,7,#000000
145,55,0,#000000
95,28,40,#000000
95,24,48,#000000
149,59,3,#000000
136,31,30,#000000
158,140,13,#000000
159,135,45,#000000
38,178,8,#000000
43,161,18,#000000
94,24,48,#000000
114,41,52,#000000
140,41,4,#000000
158,132,45,#000000
151,37,59,#000000
173,66,27,#000000
42,163,25,#000000
80,160,35,#000000
93,23,37,#000000
93,28,40,#000000
134,40,9,#000000
133,38,27,#000000
176,69,9,#000000
174,139,37,#000000
168,139,38,#000000
43,163,24,#000000
160,11,23,#000000
110,36,53,#000000
133,47,3,#000000
131,34,23,#000000
153,82,25,#000000
146,56,52,#000000
159,141,12,#000000
115,40,52,#000000
145,38,8,#000000
136,43,13,#000000
140,43,4,#000000
140,47,9,#000000
147,37,3,#000000
149,41,56,#000000
169,21,4,#000000
132,45,3,#000000
136,36,26,#000000
177,66,26,#000000
39,177,1,#000000
169,21,5,#000000
115,40,56,#000000
113,43,56,#000000
146,39,3,#000000
176,61,29,#000000
151,86,18,#000000
153,84,23,#000000
39,179,5,#000000
92,40,7,#000000
137,38,5,#000000
128,31,25,#000000
142,34,55,#000000
174,31,54,#000000
150,38,56,#000000
39,168,22,#000000
36,161,25,#000000
49,168,49,#000000
100,8,20,#000000
97,28,39,#000000
97,26,40,#000000
37,159,26,#000000
80,162,35,#000000
97,27,42,#000000
113,2,41,#000000
170,72,9,#000000
166,131,47,#000000
160,8,26,#000000
156,43,3,#000000
111,3,32,#000000
160,2,18,#000000
174,31,55,#000000
172,68,0,#000000
145,54,49,#000000
161,42,6,#000000
150,57,3,#000000
169,70,10,#000000
103,3,19,#000000
100,27,45,#000000
158,3,29,#000000
92,41,9,#000000
111,42,50,#000000
138,40,5,#000000
163,146,7,#000000
159,138,9,#000000
115,5,38,#000000
166,16,5,#000000
105,39,54,#000000
31,175,3,#000000
40,165,19,#000000
109,5,34,#000000
140,59,0,#000000
145,54,0,#000000
139,54,51,#000000
96,4,16,#000000
103,1,19,#000000
160,10,23,#000000
176,16,9,#000000
139,48,9,#000000
131,32,22,#000000
152,39,5,#000000
176,64,36,#000000
133,43,1,#000000
143,54,48,#000000
38,177,0,#000000
43,171,50,#000000
40,166,49,#000000
159,3,29,#000000
159,6,27,#000000
142,37,9,#000000
150,88,23,#000000
177,68,33,#000000
158,138,17,#000000
111,41,50,#000000
42,166,22,#000000
36,175,9,#000000
82,160,35,#000000
91,28,42,#000000
157,4,28,#000000
158,9,23,#000000
90,24,39,#000000
143,40,8,#000000
137,45,12,#000000
143,48,52,#000000
157,48,5,#000000
159,138,18,#000000
164,144,4,#000000
46,172,46,#000000
171,20,2,#000000
93,30,42,#000000
146,53,49,#000000
144,52,47,#000000
151,36,56,#000000
94,28,43,#000000
177,29,59,#000000
139,40,1,#000000
132,43,7,#000000
45,159,25,#000000
175,18,8,#000000
96,32,42,#000000
157,44,3,#000000
171,64,30,#000000
157,138,11,#000000
50,166,48,#000000
83,161,38,#000000
91,23,46,#000000
132,42,1,#000000
141,57,54,#000000
172,68,30,#000000
172,18,0,#000000
132,40,9,#000000
157,50,6,#000000
177,72,30,#000000
160,141,18,#000000
173,145,39,#000000
115,1,32,#000000
97,22,43,#000000
113,42,56,#000000
147,37,53,#000000
177,70,32,#000000
158,146,1,#000000
49,165,45,#000000
164,5,24,#000000
110,44,51,#000000
142,56,49,#000000
140,51,56,#000000
171,144,40,#000000
92,42,8,#000000
136,34,25,#000000
140,44,5,#000000
156,40,1,#000000
160,40,10,#000000
175,68,2,#000000
163,144,1,#000000
44,167,52,#000000
44,172,46,#000000
80,164,39,#000000
160,6,21,#000000
139,54,50,#000000
153,42,7,#000000
79,161,35,#000000
97,26,42,#000000
134,44,7,#000000
173,68,30,#000000
160,141,10,#000000
110,4,33,#000000
170,19,2,#000000
143,52,57,#000000
97,22,38,#000000
132,37,28,#000000
160,43,5,#000000
171,137,45,#000000
169,139,37,#000000
44,166,43,#000000
99,23,43,#000000
142,36,4,#000000
155,47,6,#000000
136,42,1,#000000
31,175,2,#000000
42,166,52,#000000
154,2,24,#000000
145,41,57,#000000
43,167,52,#000000
133,38,28,#000000
177,72,29,#000000
162,143,17,#000000
110,41,59,#000000
138,39,5,#000000
159,42,3,#000000
172,140,36,#000000
38,178,0,#000000
90,25,41,#000000
95,29,40,#000000
133,33,22,#000000
135,44,1,#000000
174,70,32,#000000
45,166,43,#000000
157,4,20,#000000
145,39,59,#000000
179,64,35,#000000
166,138,18,#000000
43,171,46,#000000
95,23,47,#000000
158,44,9,#000000
115,5,34,#000000
168,19,6,#000000
137,42,6,#000000
152,83,17,#000000
154,144,4,#000000
161,140,47,#000000
130,35,27,#000000
137,44,5,#000000
31,176,4,#000000
103,1,20,#000000
99,2,14,#000000
116,5,36,#000000
109,5,38,#000000
157,6,23,#000000
176,38,57,#000000
112,7,34,#000000
142,42,9,#000000
138,41,2,#000000
132,41,7,#000000
159,141,5,#000000
95,4,21,#000000
105,39,51,#000000
128,30,23,#000000
148,32,57,#000000
158,47,7,#000000
163,144,16,#000000
94,27,45,#000000
93,22,37,#000000
139,40,5,#000000
169,140,39,#000000
158,130,43,#000000
38,179,1,#000000
161,3,29,#000000
142,43,9,#000000
144,39,56,#000000
157,149,3,#000000
165,142,13,#000000
45,161,22,#000000
44,162,48,#000000
46,169,45,#000000
174,19,9,#000000
94,37,6,#000000
163,139,19,#000000
109,45,52,#000000
129,39,3,#000000
153,83,24,#000000
44,172,50,#000000
80,165,37,#000000
105,39,56,#000000
153,82,17,#000000
176,61,30,#000000
146,37,0,#000000
145,37,0,#000000
175,68,1,#000000
172,135,39,#000000
115,4,38,#000000
134,42,8,#000000
147,38,5,#000000
150,86,18,#000000
161,147,2,#000000
160,142,5,#000000
96,29,41,#000000
146,32,57,#000000
160,39,11,#000000
169,73,5,#000000
40,165,46,#000000
98,1,13,#000000
112,3,41,#000000
163,6,24,#000000
144,40,7,#000000
138,40,1,#000000
141,43,7,#000000
136,43,5,#000000
44,159,25,#000000
42,170,49,#000000
77,161,39,#000000
85,157,38,#000000
172,18,9,#000000
91,41,6,#000000
176,66,34,#000000
158,134,46,#000000
35,159,19,#000000
91,26,40,#000000
168,138,37,#000000
44,174,48,#000000
114,1,31,#000000
163,2,20,#000000
46,170,45,#000000
101,5,21,#000000
158,9,25,#000000
129,40,3,#000000
164,140,18,#000000
168,139,42,#000000
140,45,8,#000000
142,42,10,#000000
92,26,39,#000000
172,70,2,#000000
42,166,21,#000000
35,161,22,#000000
96,7,21,#000000
98,3,23,#000000
107,1,33,#000000
93,26,43,#000000
162,138,20,#000000
176,138,39,#000000
134,34,29,#000000
134,38,3,#000000
175,36,57,#000000
100,29,43,#000000
163,6,26,#000000
177,16,5,#000000
169,19,8,#000000
137,44,13,#000000
153,43,6,#000000
93,26,46,#000000
90,24,44,#000000
145,59,5,#000000
155,147,4,#000000
173,138,36,#000000
40,167,20,#000000
97,21,43,#000000
107,2,34,#000000
108,4,38,#000000
139,42,4,#000000
179,38,58,#000000
92,39,11,#000000
91,43,8,#000000
32,178,5,#000000
160,1,24,#000000
140,43,2,#000000
160,140,18,#000000
171,19,1,#000000
171,134,40,#000000
166,130,45,#000000
169,71,3,#000000
161,135,49,#000000
45,159,22,#000000
139,44,6,#000000
143,50,51,#000000
158,48,7,#000000
179,31,54,#000000
175,68,10,#000000
134,29,26,#000000
172,21,2,#000000
172,64,34,#000000
169,138,37,#000000
164,130,51,#000000
177,31,53,#000000
111,4,40,#000000
113,3,40,#000000
167,17,5,#000000
143,41,7,#000000
143,39,8,#000000
131,32,30,#000000
77,158,41,#000000
98,26,42,#000000
130,34,24,#000000
157,46,8,#000000
164,132,45,#000000
101,2,15,#000000
101,24,47,#000000
95,31,44,#000000
174,33,56,#000000
165,132,49,#000000
42,164,20,#000000
172,25,4,#000000
172,24,6,#000000
108,41,58,#000000
142,42,7,#000000
160,42,3,#000000
105,40,54,#000000
42,165,22,#000000
34,178,0,#000000
48,167,44,#000000
46,172,50,#000000
103,1,17,#000000
113,8,38,#000000
174,18,9,#000000
134,41,4,#000000
144,55,49,#000000
156,129,49,#000000
40,161,18,#000000
160,10,25,#000000
95,30,42,#000000
134,31,21,#000000
175,73,5,#000000
176,72,6,#000000
174,20,2,#000000
171,16,0,#000000
157,40,11,#000000
173,34,59,#000000
167,68,4,#000000
170,137,45,#000000
75,156,36,#000000
112,8,38,#000000
113,40,50,#000000
105,39,52,#000000
156,146,2,#000000
98,6,16,#000000
137,41,15,#000000
137,46,6,#000000
145,54,56,#000000
153,40,3,#000000
80,162,40,#000000
110,7,37,#000000
137,49,11,#000000
131,31,31,#000000
172,74,3,#000000
173,144,39,#000000
102,4,18,#000000
134,46,2,#000000
177,68,5,#000000
158,142,5,#000000
159,140,17,#000000
175,139,37,#000000
169,17,9,#000000
131,39,8,#000000
93,2,18,#000000
110,41,58,#000000
132,46,3,#000000
133,36,23,#000000
155,147,3,#000000
43,160,18,#000000
116,3,38,#000000
97,27,43,#000000
145,40,57,#000000
91,26,42,#000000
131,37,27,#000000
141,43,2,#000000
174,143,39,#000000
172,138,36,#000000
138,30,25,#000000
173,69,30,#000000
179,64,34,#000000
162,147,3,#000000
49,165,44,#000000
75,156,35,#000000
112,9,37,#000000
176,68,9,#000000
170,70,2,#000000
166,140,16,#000000
38,166,23,#000000
81,159,34,#000000
96,26,47,#000000
163,134,49,#000000
168,138,39,#000000
101,27,41,#000000
113,5,33,#000000
94,28,41,#000000
162,8,22,#000000
176,31,54,#000000
163,147,15,#000000
158,145,10,#000000
95,5,19,#000000
113,10,35,#000000
91,39,5,#000000
107,39,58,#000000
147,54,54,#000000
179,68,30,#000000
142,41,0,#000000
153,84,21,#000000
38,178,7,#000000
80,161,41,#000000
101,4,16,#000000
115,4,33,#000000
175,17,9,#000000
137,43,14,#000000
171,145,41,#000000
167,69,4,#000000
37,159,27,#000000
102,25,44,#000000
110,50,54,#000000
136,50,8,#000000
153,84,20,#000000
174,69,1,#000000
130,30,31,#000000
154,43,8,#000000
36,176,9,#000000
90,24,43,#000000
93,26,44,#000000
163,5,27,#000000
129,34,26,#000000
142,40,8,#000000
167,138,40,#000000
176,138,37,#000000
168,138,14,#000000
161,144,16,#000000
83,160,37,#000000
96,7,18,#000000
109,2,40,#000000
116,4,38,#000000
143,51,57,#000000
155,147,6,#000000
159,134,45,#000000
162,127,47,#000000
142,34,3,#000000
148,43,57,#000000
34,178,8,#000000
39,178,7,#000000
80,164,36,#000000
101,5,17,#000000
107,2,35,#000000
143,57,5,#000000
165,140,18,#000000
157,130,44,#000000
99,27,47,#000000
137,43,3,#000000
158,138,11,#000000
171,71,2,#000000
39,179,2,#000000
158,8,23,#000000
145,42,57,#000000
142,35,59,#000000
146,41,59,#000000
170,69,11,#000000
90,24,45,#000000
102,24,41,#000000
110,47,56,#000000
142,48,4,#000000
172,67,31,#000000
162,143,11,#000000
41,168,21,#000000
36,162,22,#000000
